dataset,scene,pair,detector,keypoints_a,keypoints_b,matches,inliers,inlier_ratio,reprojection_error_px,runtime_ms,status
opencv_samples,boat,boat1.jpg → boat2.jpg,SIFT,796,605,242,229,0.9463,,32.47,ok
opencv_samples,boat,boat2.jpg → boat3.jpg,SIFT,605,554,209,182,0.8708,,75.28,ok
opencv_samples,boat,boat3.jpg → boat4.jpg,SIFT,554,509,119,103,0.8655,,55.31,ok
opencv_samples,boat,boat4.jpg → boat5.jpg,SIFT,509,661,180,177,0.9833,,60.4,ok
opencv_samples,boat,boat5.jpg → boat6.jpg,SIFT,661,741,246,209,0.8496,,71.14,ok
opencv_samples,boat,boat1.jpg → boat2.jpg,ORB,3332,2725,747,707,0.9465,,27.8,ok
opencv_samples,boat,boat2.jpg → boat3.jpg,ORB,2725,2728,843,757,0.898,,33.06,ok
opencv_samples,boat,boat3.jpg → boat4.jpg,ORB,2728,2729,421,395,0.9382,,62.4,ok
opencv_samples,boat,boat4.jpg → boat5.jpg,ORB,2729,3394,710,670,0.9437,,35.61,ok
opencv_samples,boat,boat5.jpg → boat6.jpg,ORB,3394,3612,1047,931,0.8892,,37.92,ok
opencv_samples,newspaper,newspaper1.jpg → newspaper2.jpg,SIFT,2895,3977,1023,968,0.9462,,130.68,ok
opencv_samples,newspaper,newspaper2.jpg → newspaper3.jpg,SIFT,3977,4805,1396,1266,0.9069,,130.02,ok
opencv_samples,newspaper,newspaper3.jpg → newspaper4.jpg,SIFT,4805,5364,2387,2255,0.9447,,128.36,ok
opencv_samples,newspaper,newspaper1.jpg → newspaper2.jpg,ORB,4530,4781,227,177,0.7797,,68.23,ok
opencv_samples,newspaper,newspaper2.jpg → newspaper3.jpg,ORB,4781,4756,1391,1272,0.9145,,68.19,ok
opencv_samples,newspaper,newspaper3.jpg → newspaper4.jpg,ORB,4756,4576,1303,1171,0.8987,,136.85,ok
oxford_vgg,bark,img1 → img6,SIFT,3703,4626,259,249,0.9614,1.314,160.84,ok
oxford_vgg,bark,img1 → img6,ORB,4845,4910,27,15,0.5556,2.244,114.49,ok
oxford_vgg,boat,img1 → img6,SIFT,8849,4258,214,149,0.6963,5.71,358.99,ok
oxford_vgg,boat,img1 → img6,ORB,5000,5000,112,100,0.8929,5.745,69.57,ok
oxford_vgg,graf,img1 → img6,SIFT,2674,4791,49,5,0.102,384.207,177.85,ok
oxford_vgg,graf,img1 → img6,ORB,5000,5000,31,5,0.1613,750.271,82.34,ok
oxford_vgg,wall,img1 → img6,SIFT,10356,10835,27,11,0.4074,4.281,449.2,ok
oxford_vgg,wall,img1 → img6,ORB,5000,5000,9,4,0.4444,2098.02,85.97,ok
oxford_vgg,leuven,img1 → img6,SIFT,2460,1156,434,365,0.841,0.281,94.86,ok
oxford_vgg,leuven,img1 → img6,ORB,4983,3277,1113,1052,0.9452,0.366,43.58,ok
oxford_vgg,bikes,img1 → img6,SIFT,3384,373,301,153,0.5083,1.892,122.69,ok
oxford_vgg,bikes,img1 → img6,ORB,5000,989,567,316,0.5573,3.51,36.97,ok
